,날짜,관광지명,관광객수
550,2009.11,제주민속촌박물관,20852
551,2009.11,제주조각공원,1604
552,2009.11,제주추사관,0
553,2009.11,중문주상절리대,77197
554,2009.11,천제연폭포,25682
555,2009.11,천지연폭포,67731
556,2009.11,카멜리아힐,0
557,2009.11,테디베어뮤지엄,31341
558,2009.11,퍼시픽랜드,23108
559,2009.11,아쿠아플라넷,0
560,2009.11,화락원,0
561,2009.12,(주)제주미니미니랜드,14202
562,2009.12,국립제주박물관,18296
563,2009.12,도립미술관,0
564,2009.12,만장굴관광지,31385
565,2009.12,목석원,0
566,2009.12,민속자연사박물관,42013
567,2009.12,비자림,6385
568,2009.12,산굼부리,33705
569,2009.12,삼성혈,4741
570,2009.12,삼양선사유적지,800
571,2009.12,생각하는 정원,9904
572,2009.12,절물자연휴양림,20474
573,2009.12,제주도립 김창열미술관,0
574,2009.12,제주돌문화공원,7810
575,2009.12,제주러브랜드,36675
576,2009.12,제주목관아지,4506
577,2009.12,제주별빛누리공원,0
578,2009.12,제주항일기념관,5522
579,2009.12,한라산국립공원,49203
580,2009.12,한림공원,45248
581,2009.12,항몽 유적지,6705
582,2009.12,해녀 박물관,20660
583,2009.12,감귤박물관,6241
584,2009.12,기당미술관,425
585,2009.12,마라해양도립공원,13883
586,2009.12,박물관은살아있다,0
587,2009.12,산방산,37328
588,2009.12,서귀포도립해양공원,13717
589,2009.12,서귀포자연휴양림,4599
590,2009.12,서복전시관,2002
591,2009.12,성산일출봉,98113
592,2009.12,소리섬박물관,0
593,2009.12,소인국테마파크,39225
594,2009.12,신영영화박물관,5534
595,2009.12,아프리카박물관,8608
596,2009.12,여미지식물원,51618
597,2009.12,이중섭미술관,8061
598,2009.12,익스트림 아일랜드,0
599,2009.12,일출랜드,31826
600,2009.12,정방폭포,22817
601,2009.12,제주민속촌박물관,23765
602,2009.12,제주조각공원,1931
603,2009.12,제주추사관,0
604,2009.12,중문주상절리대,91734
605,2009.12,천제연폭포,22912
606,2009.12,천지연폭포,68452
607,2009.12,카멜리아힐,0
608,2009.12,테디베어뮤지엄,58095
609,2009.12,퍼시픽랜드,26229
610,2009.12,아쿠아플라넷,0
611,2009.12,화락원,0
612,2010.01,(주)제주미니미니랜드,13403
613,2010.01,국립제주박물관,14798
614,2010.01,도립미술관,0
615,2010.01,만장굴관광지,36635
616,2010.01,목석원,0
617,2010.01,민속자연사박물관,41680
618,2010.01,비자림,6129
619,2010.01,산굼부리,28433
620,2010.01,삼성혈,6019
621,2010.01,삼양선사유적지,1465
622,2010.01,생각하는 정원,10305
623,2010.01,절물자연휴양림,23960
624,2010.01,제주도립 김창열미술관,0
625,2010.01,제주돌문화공원,7713
626,2010.01,제주러브랜드,49569
627,2010.01,제주목관아지,4736
628,2010.01,제주별빛누리공원,2628
629,2010.01,제주항일기념관,3635
630,2010.01,한라산국립공원,116814
631,2010.01,한림공원,47826
632,2010.01,항몽 유적지,6324
633,2010.01,해녀 박물관,11137
634,2010.01,감귤박물관,5915
635,2010.01,기당미술관,466
636,2010.01,마라해양도립공원,46058
637,2010.01,박물관은살아있다,0
638,2010.01,산방산,40360
639,2010.01,서귀포도립해양공원,39611
640,2010.01,서귀포자연휴양림,4161
641,2010.01,서복전시관,1821
642,2010.01,성산일출봉,98211
643,2010.01,소리섬박물관,0
644,2010.01,소인국테마파크,48269
645,2010.01,신영영화박물관,5694
646,2010.01,아프리카박물관,10911
647,2010.01,여미지식물원,60335
648,2010.01,이중섭미술관,9661
649,2010.01,익스트림 아일랜드,0
650,2010.01,일출랜드,32518
651,2010.01,정방폭포,27088
652,2010.01,제주민속촌박물관,25713
653,2010.01,제주조각공원,1654
654,2010.01,제주추사관,0
655,2010.01,중문주상절리대,87443
656,2010.01,천제연폭포,30763
657,2010.01,천지연폭포,79882
658,2010.01,카멜리아힐,0
659,2010.01,테디베어뮤지엄,43537
660,2010.01,퍼시픽랜드,33530
661,2010.01,아쿠아플라넷,0
662,2010.01,화락원,0
663,2010.02,(주)제주미니미니랜드,11644
664,2010.02,국립제주박물관,15214
665,2010.02,도립미술관,0
666,2010.02,만장굴관광지,25969
667,2010.02,목석원,0
668,2010.02,민속자연사박물관,33119
669,2010.02,비자림,5974
670,2010.02,산굼부리,26613
671,2010.02,삼성혈,4378
672,2010.02,삼양선사유적지,1318
673,2010.02,생각하는 정원,8636
674,2010.02,절물자연휴양림,17475
675,2010.02,제주도립 김창열미술관,0
676,2010.02,제주돌문화공원,4539
677,2010.02,제주러브랜드,34049
678,2010.02,제주목관아지,12384
679,2010.02,제주별빛누리공원,1429
680,2010.02,제주항일기념관,2237
681,2010.02,한라산국립공원,57642
682,2010.02,한림공원,42307
683,2010.02,항몽 유적지,5542
684,2010.02,해녀 박물관,8001
685,2010.02,감귤박물관,4491
686,2010.02,기당미술관,394
687,2010.02,마라해양도립공원,22860
688,2010.02,박물관은살아있다,0
689,2010.02,산방산,32370
690,2010.02,서귀포도립해양공원,22331
691,2010.02,서귀포자연휴양림,3157
692,2010.02,서복전시관,1682
693,2010.02,성산일출봉,57978
694,2010.02,소리섬박물관,0
695,2010.02,소인국테마파크,42300
696,2010.02,신영영화박물관,4542
697,2010.02,아프리카박물관,8425
698,2010.02,여미지식물원,51257
699,2010.02,이중섭미술관,7355
700,2010.02,익스트림 아일랜드,0
701,2010.02,일출랜드,24035
702,2010.02,정방폭포,21588
703,2010.02,제주민속촌박물관,23142
704,2010.02,제주조각공원,1100
705,2010.02,제주추사관,0
706,2010.02,중문주상절리대,57092
707,2010.02,천제연폭포,25904
708,2010.02,천지연폭포,70583
709,2010.02,카멜리아힐,0
710,2010.02,테디베어뮤지엄,36938
711,2010.02,퍼시픽랜드,27280
712,2010.02,아쿠아플라넷,0
713,2010.02,화락원,0
714,2010.03,(주)제주미니미니랜드,15656
715,2010.03,국립제주박물관,35878
716,2010.03,도립미술관,0
717,2010.03,만장굴관광지,37302
718,2010.03,목석원,0
719,2010.03,민속자연사박물관,94526
720,2010.03,비자림,10917
721,2010.03,산굼부리,42745
722,2010.03,삼성혈,5896
723,2010.03,삼양선사유적지,3478
724,2010.03,생각하는 정원,11129
725,2010.03,절물자연휴양림,35698
726,2010.03,제주도립 김창열미술관,0
727,2010.03,제주돌문화공원,7595
728,2010.03,제주러브랜드,70799
729,2010.03,제주목관아지,5693
730,2010.03,제주별빛누리공원,6113
731,2010.03,제주항일기념관,9038
732,2010.03,한라산국립공원,64462
733,2010.03,한림공원,75721
734,2010.03,항몽 유적지,11036
735,2010.03,해녀 박물관,19896
736,2010.03,감귤박물관,4938
737,2010.03,기당미술관,342
738,2010.03,마라해양도립공원,29283
739,2010.03,박물관은살아있다,0
740,2010.03,산방산,73060
741,2010.03,서귀포도립해양공원,36119
742,2010.03,서귀포자연휴양림,2293
743,2010.03,서복전시관,1708
744,2010.03,성산일출봉,108440
745,2010.03,소리섬박물관,0
